id;phone_number;country_code;otp;otp_type;otp_length;status;date_validated
1;superstructure solutions Automated;FI;Enterprise-wide;teal Reactive;90367;sticky directional;2022-11-16T15:08:03
2;purple Solomon;BW;Incredible e-commerce;Ameliorated copying European;42732;Handcrafted XML Rustic;2022-11-16T14:32:09
3;Tasty Ergonomic seamless;IS;Soft;Small vortals Arkansas;13751;Rustic Table Loan;2022-11-15T20:42:05
4;Fork;SI;Planner;Cambridgeshire;84500;Plastic programming Saint;2022-11-15T20:58:35
5;impactful motivating;VG;e-business Integrated Bedfordshire;maximize paradigm;15570;invoice Beauty;2022-11-16T08:06:42
6;alarm Generic Concrete;IE;maximize;Infrastructure Granite;46179;systems task-force plum;2022-11-16T10:38:52
7;Wooden;BO;Sleek bricks-and-clicks compressing;parsing Dollar;13559;programming Intranet Dong;2022-11-16T04:11:35
8;SAS hard Chief;ZA;Balanced Market CSS;Account;2302;orchid;2022-11-16T16:32:30
9;Chips;ST;Plastic adapter Cheese;project data-warehouse;59674;Switchable;2022-11-15T19:34:20
10;Intelligent Crest AI;MA;Vermont;calculate;18855;PCI Georgia;2022-11-16T03:04:18
