id;federation_id;member_id;receiver_id;amount_in_sat;description;drcr;transaction_id;transaction_date;transaction_type
1;85813;payment generate;array;3557;Developer Dominican protocol;CR;executive;2022-11-21T19:24:49;ON_MINT
2;79548;Freeway Rubber back-end;District embrace;92561;e-business Rwanda;CR;knowledge markets synthesize;2022-11-21T18:42:37;OFF_MINT
3;46442;users National vortals;Islands;86913;Licensed leading-edge;CR;proactive;2022-11-21T11:03:48;OFF_MINT
4;63;magenta Bedfordshire;content JBOD;33775;Beauty capacity;DR;multi-state enhance;2022-11-21T03:26:41;ON_MINT
5;45599;District Electronics applications;Pennsylvania Incredible platforms;86862;Outdoors seize Rubber;DR;salmon;2022-11-21T13:32:24;ON_MINT
6;33920;navigate Tenge;Bedfordshire Home;33261;copy;CR;set;2022-11-21T13:48:18;OFF_MINT
7;50;Chair;Generic 6th;65828;Progressive;CR;Louisiana;2022-11-21T00:23:06;OFF_MINT
8;23782;Engineer National;generating Berkshire;90992;Bacon support Borders;DR;lavender FTP application;2022-11-21T11:27:35;OFF_MINT
9;6882;Cambridgeshire;client-driven bypass Enterprise-wide;96372;Small Consultant wireless;CR;Computer pixel Intuitive;2022-11-21T11:09:06;ON_MINT
10;11333;Intranet;disintermediate matrices;78976;Borders Chair;CR;drive;2022-11-21T16:56:35;ON_MINT
